Job_Title,Department,Employer,city,Date_Placed,Closing_Date,Job_Url
Postdoctoral Research Fellow,"College of Medicine and Veterinary Medicine, Clinical Sciences - Institute for Regeneration and Repair - Centre for Inflammation Research",The University of Edinburgh,Edinburgh,19-Jun,10-Jul,https://www.jobs.ac.uk/job/DAR502/postdoctoral-research-fellow
Postdoctoral Research Assistant,,University of Dundee,Dundee,19-Jun,19-Jul,https://www.jobs.ac.uk/job/DAR477/postdoctoral-research-assistant
Doctoral Academic Teachers - 2 posts (0.5fte),Human Anatomy Resource Centre,University of Liverpool,Liverpool,19-Jun,13-Jul,https://www.jobs.ac.uk/job/DAR471/doctoral-academic-teachers-2-posts-05fte
Project Manager in Marine Research,School of Environmental Sciences - Faculty of Science,University of East Anglia,Norwich,19-Jun,12-Jul,https://www.jobs.ac.uk/job/DAR461/project-manager-in-marine-research
Lecturer or Reader - AC2378SB,School of Physics and Astronomy,University of St Andrews,St Andrews,19-Jun,04-Aug,https://www.jobs.ac.uk/job/DAR455/lecturer-or-reader-ac2378sb
Postdoctoral Researcher - UOD675,Biological Sciences,University of Dundee,Dundee,19-Jun,16-Jul,https://www.jobs.ac.uk/job/DAR449/postdoctoral-researcher-uod675
Technical Specialist (Royce Biomedical Materials),Henry Royce Institute for Advanced Materials,The University of Manchester,Manchester,19-Jun,29-Jun,https://www.jobs.ac.uk/job/DAR443/technical-specialist-royce-biomedical-materials
Postdoctoral Researcher (Core Scientist),"College of Medicine and Veterinary Medicine, The Royal (Dick) School of Veterinary Studies, The Roslin Institute",The University of Edinburgh,Edinburgh,19-Jun,17-Jul,https://www.jobs.ac.uk/job/DAR380/postdoctoral-researcher-core-scientist
Post-doctoral Research Assistant in Analytical Biochemistry,School of Applied Sciences,Abertay University,Dundee,19-Jun,02-Jul,https://www.jobs.ac.uk/job/DAR363/post-doctoral-research-assistant-in-analytical-biochemistry
Post Doctoral Fellow,MVM/CCBS,The University of Edinburgh,Edinburgh,19-Jun,28-Jun,https://www.jobs.ac.uk/job/DAR336/post-doctoral-fellow
PhD Studentship: Physical Activity and Tissue Capacity in Diabetes Patients Pre and Post Recovery of Ulceration,School of Health and Society,University of Salford,Salford,19-Jun,28-Jul,https://www.jobs.ac.uk/job/DAR325/phd-studentship-physical-activity-and-tissue-capacity-in-diabetes-patients-pre-and-post-recovery-of-ulceration
PhD Studentship: Meatier Meat-analogues Through Elucidating and Optimising Water Entrainment in Mycoprotein-based Products,Science,University of Nottingham,Nottingham,19-Jun,16-Jul,https://www.jobs.ac.uk/job/DAR292/phd-studentship-meatier-meat-analogues-through-elucidating-and-optimising-water-entrainment-in-mycoprotein-based-products
Research Fellow,Neurodegenerative Disease,UCL,London,19-Jun,02-Jul,https://www.jobs.ac.uk/job/DAR258/research-fellow
Lecturer or Senior Lecturer in Health Biosciences,Institute of Health and Allied Professions - School of Social Sciences,Nottingham Trent University,Nottingham,19-Jun,07-Jul,https://www.jobs.ac.uk/job/DAR238/lecturer-or-senior-lecturer-in-health-biosciences
Cancer Bioinformatician,Department of Oncology and Metabolism,University of Sheffield,Sheffield,19-Jun,17-Jul,https://www.jobs.ac.uk/job/DAR230/cancer-bioinformatician
Research Assistant,Neurodegenerative Disease,UCL,London,19-Jun,09-Jul,https://www.jobs.ac.uk/job/DAR229/research-assistant
Senior Research Fellow,Health and Medical,UCL,London,19-Jun,29-Jun,https://www.jobs.ac.uk/job/DAR186/senior-research-fellow
Research Technician,School of Biosciences,University of Sheffield,Sheffield,19-Jun,30-Jun,https://www.jobs.ac.uk/job/DAR173/research-technician
Research Associate in Computational Ecology,School of Biosciences,University of Sheffield,Sheffield,19-Jun,14-Jul,https://www.jobs.ac.uk/job/DAR167/research-associate-in-computational-ecology
Clinical Trials Coordinator,William Harvey Research Institute,Queen Mary University of London,London,19-Jun,22-Jun,https://www.jobs.ac.uk/job/DAR015/clinical-trials-coordinator
Research Fellow in Biocomputation,"School of Physics, Engineering and Computer Science",University of Hertfordshire,Hatfield,19-Jun,28-Jun,https://www.jobs.ac.uk/job/DAQ973/research-fellow-in-biocomputation
PhD Studentship: To Decipher the Role of Siglec Proteins Expressed on Microglia in Neuropathic Pain,"Clinical Pharmaceutical Biological Sciences, School of Life and Medical Sciences",University of Hertfordshire,Hatfield,19-Jun,14-Jul,https://www.jobs.ac.uk/job/DAQ970/phd-studentship-to-decipher-the-role-of-siglec-proteins-expressed-on-microglia-in-neuropathic-pain
Postdoctoral Research Associate,Department of Engineering,"City, University of London",London,19-Jun,02-Jul,https://www.jobs.ac.uk/job/DAQ966/postdoctoral-research-associate
"PhD Studentship: Visible-light-mediated Functionalisation of Amino Acids, Peptides, and Proteins",Chemistry,University of Nottingham,Nottingham,19-Jun,20-Jun,https://www.jobs.ac.uk/job/DAQ558/phd-studentship-visible-light-mediated-functionalisation-of-amino-acids-peptides-and-proteins
Assistant Professor,College of Life and Environmental Sciences,University of Birmingham,Birmingham,19-Jun,17-Jul,https://www.jobs.ac.uk/job/DAL623/assistant-professor
Assistant Professor of Biomedical Semantics,Institute of Cancer and Genomic Sciences,University of Birmingham,Birmingham,19-Jun,17-Jul,https://www.jobs.ac.uk/job/DAK405/assistant-professor-of-biomedical-semantics
Assistant Professor of Environmental Impacts on Health,College of Medical and Dental Sciences,University of Birmingham,Birmingham,19-Jun,17-Jul,https://www.jobs.ac.uk/job/DAK348/assistant-professor-of-environmental-impacts-on-health
Post-Doctoral Research Fellow,College of Medicine and Veterinary Medicine - Human Genetics Unit within the Institute of Genetics and Cancer,The University of Edinburgh,Edinburgh,16-Jun,30-Jun,https://www.jobs.ac.uk/job/DAQ215/post-doctoral-research-fellow
Programme Manager - 16-18 Vocational Science (LUM351/370),,Luminate Education Group,Leeds,16-Jun,07-Jul,https://www.jobs.ac.uk/job/DAQ209/programme-manager-16-18-vocational-science-lum351-370
Research Associate (ER-mitochondria Signaling in Dementia),Basic and Clinical Neuroscience and Randall Centre,King's College London,London,16-Jun,30-Jul,https://www.jobs.ac.uk/job/DAQ169/research-associate-er-mitochondria-signaling-in-dementia
Research Associate in Bioinformatics,"Department of Life Sciences, Faculty of Natural Sciences",Imperial College London,London,16-Jun,06-Jul,https://www.jobs.ac.uk/job/DAQ086/research-associate-in-bioinformatics
Research Associate in Chemical Profiling Methods for Environmental Analysis (Fixed Term),Chemistry,University of Bath,Bath,16-Jun,23-Jun,https://www.jobs.ac.uk/job/DAQ065/research-associate-in-chemical-profiling-methods-for-environmental-analysis-fixed-term
Postdoctoral Research Assistant,Biological Sciences,University of Dundee,Dundee,16-Jun,16-Jul,https://www.jobs.ac.uk/job/DAQ036/postdoctoral-research-assistant
Assistant Professor in Biology,Department of Science and Environmental Studies,The Education University of Hong Kong,Hong Kong,16-Jun,27-Jun,https://www.jobs.ac.uk/job/DAQ034/assistant-professor-in-biology
